City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,sisimiut,66.9395,-53.6735,7.74,74,17,3.37,GL,1691254126
122,charters towers,-20.1,146.2667,14.04,74,58,3.91,AU,1691254126
123,tabou,4.423,-7.3528,25.21,80,100,4.61,CI,1691254126
124,mutuali,-14.8706,37.0044,21.73,62,85,2.91,MZ,1691254126
125,mount gambier,-37.8333,140.7667,7.8,87,95,1.04,AU,1691254126
126,aldan,58.6031,125.3894,14.19,67,50,2.1,RU,1691254126
127,nantucket,41.2835,-70.0995,26.08,68,75,4.63,US,1691253936
128,vilyuchinsk,52.9306,158.4028,12.15,86,0,3.63,RU,1691254126
129,arkhangel'sk,64.5401,40.5433,17.6,93,8,2.69,RU,1691254126
130,isafjordur,66.0755,-23.124,12.02,62,20,1.54,IS,1691254126
131,beyneu,45.3167,55.2,34.37,20,0,5.41,KZ,1691254126
132,karaidel',55.8337,56.9069,21.54,65,97,1.11,RU,1691254127
133,lyangasovo,58.5176,49.4472,20.08,78,6,2.83,RU,1691254127
134,calderitas,18.55,-88.25,31.06,70,40,5.14,MX,1691254127
135,bonthe,7.5264,-12.505,26.8,81,68,5.35,SL,1691254127
136,kralendijk,12.15,-68.2667,31.99,66,40,5.66,BQ,1691254127
137,kardla,58.9978,22.7492,19.47,73,100,2.51,EE,1691254127
138,lerwick,60.1545,-1.1494,13.0,69,98,0.79,GB,1691254127
139,tsumeb,-19.2333,17.7167,21.51,20,0,3.93,NA,1691254127
140,vorgashor,67.5833,63.95,18.84,54,0,3.29,RU,1691254127
141,banda aceh,5.5577,95.3222,26.88,81,96,1.56,ID,1691254127
142,kununurra,-15.7667,128.7333,23.99,38,3,3.09,AU,1691254127
143,ketchikan,55.3422,-131.6461,18.26,68,0,0.0,US,1691254127
144,dolisie,-4.1997,12.6739,26.01,55,5,4.2,CG,1691254128
145,kimbe,-5.5502,150.1429,24.27,75,94,4.59,PG,1691254128
146,pisco,-13.7,-76.2167,21.03,68,75,2.57,PE,1691254128
147,wailua homesteads,22.0669,-159.378,25.44,83,75,4.63,US,1691254128
148,hoemul-li,41.4339,129.67,20.41,97,100,3.1,KP,1691254128
149,nuuk,64.1835,-51.7216,9.34,87,75,2.06,GL,1691254128
150,kupang,-10.1667,123.5833,24.24,75,70,5.46,ID,1691254128
151,ceerigaabo,10.6162,47.368,23.5,41,94,8.8,SO,1691254128
152,codrington,-38.2667,141.9667,10.61,73,97,1.84,AU,1691254128
153,ta`u,-14.2336,-169.5144,27.07,75,84,4.66,AS,1691254128
154,kidal,18.4411,1.4078,38.09,27,51,5.03,ML,1691254128
155,laojunmiao,39.8333,97.7333,23.15,31,30,2.95,CN,1691254129
156,mbanza kongo,-6.267,14.2401,29.93,24,1,1.62,AO,1691254129
157,diebougou,10.9667,-3.25,28.81,64,94,3.89,BF,1691254129
158,san jose del guaviare,2.5729,-72.6459,23.52,95,99,0.34,CO,1691254129
159,kuqa,41.7278,82.9364,30.55,23,95,2.88,CN,1691254129
160,kerikeri,-35.2268,173.9474,7.17,91,53,0.67,NZ,1691254129
161,nyaunglebin,17.95,96.7333,24.5,95,100,1.07,MM,1691254129
162,maralal,1.0968,36.698,17.28,56,87,2.53,KE,1691254129
163,warrnambool,-38.3833,142.4833,6.85,74,100,2.41,AU,1691254129
164,enewetak,11.3474,162.3373,28.22,78,81,5.82,MH,1691254129
165,emerald,-23.5333,148.1667,13.31,78,0,2.76,AU,1691254129
166,hamilton,39.1834,-84.5333,30.92,65,0,4.12,US,1691253808
167,namie,37.4833,141.0,27.06,82,0,2.22,JP,1691254130
168,bukama,-9.2,25.85,26.87,28,0,1.08,CD,1691254130
169,tropea,38.6754,15.8948,25.61,70,65,8.92,IT,1691254130
170,port alfred,-33.5906,26.891,18.43,78,0,3.77,ZA,1691254130
171,nouadhibou,20.931,-17.0347,25.99,65,5,10.29,MR,1691254130
172,tyukhtet,56.5389,89.3011,10.7,73,9,2.22,RU,1691254130
173,jamestown,42.097,-79.2353,25.57,63,40,2.06,US,1691253938
174,saipan,15.1355,145.701,27.39,100,0,0.0,MP,1691254130
175,spring creek,40.7266,-115.5859,22.67,37,1,1.35,US,1691254108
176,leca da palmeira,41.191,-8.7003,35.77,50,0,5.14,PT,1691254130
177,whitehorse,60.7161,-135.0538,17.43,67,75,5.66,CA,1691253995
178,usinsk,65.9939,57.5281,23.82,58,56,2.54,RU,1691254131
179,kipushi,-11.7667,27.2333,18.36,35,0,1.24,CD,1691254131
180,hovd,48.0056,91.6419,20.06,42,83,1.56,MN,1691254131
181,st. john's,47.5649,-52.7093,19.75,73,75,4.63,CA,1691254078
182,sola,-13.8833,167.55,24.73,83,100,7.74,VU,1691254131
183,sabang,5.8933,95.3214,28.21,77,86,2.82,ID,1691254131
184,la palma,33.8464,-118.0467,28.26,73,20,1.54,US,1691254131
185,la'ie,21.6477,-157.9253,24.5,76,48,0.45,US,1691254131
186,shitanjing,39.2342,106.3439,27.34,33,81,0.4,CN,1691254131
187,west island,-12.1568,96.8225,25.99,89,75,5.66,CC,1691254131
188,dolores,-36.3132,-57.6792,14.94,46,5,4.48,AR,1691254131
189,greding,49.0483,11.3614,18.8,82,100,1.55,DE,1691254131
190,lebu,-37.6167,-73.65,12.76,63,100,1.84,CL,1691254132
191,uturoa,-16.7333,-151.4333,25.77,72,22,3.46,PF,1691254132
192,al mijlad,11.0333,27.7333,29.72,56,96,3.3,SD,1691254132
193,sevsk,52.1491,34.4926,25.65,62,0,2.95,RU,1691254132
194,arteche,12.2645,125.4048,26.94,78,8,3.39,PH,1691254132
195,yuxia,34.0615,108.6291,30.34,64,3,2.81,CN,1691254132
196,hanzhong,33.0728,107.0303,24.34,86,29,0.46,CN,1691254132
197,luderitz,-26.6481,15.1594,15.73,66,13,2.8,NA,1691254132
198,holualoa,19.6228,-155.9522,22.1,80,20,1.34,US,1691254132
199,coahuayana de hidalgo,18.7,-103.6583,32.36,50,100,1.09,MX,1691254132
200,gizo,-8.103,156.8419,25.78,78,100,9.37,SB,1691254133
201,susuman,62.7833,148.1667,5.58,76,27,1.1,RU,1691254133
202,zapolyarnyy,69.4154,30.8136,11.6,90,100,5.13,RU,1691254133
203,harper,4.375,-7.7169,25.12,81,100,5.1,LR,1691254133
204,fonte boa,-2.4959,-66.2662,34.23,44,65,1.32,BR,1691254133
205,sitka,57.0531,-135.33,17.94,77,40,3.6,US,1691254133
206,yung shue wan,22.2333,114.1167,30.38,82,93,8.16,HK,1691254133
207,dubbo,-32.25,148.6167,7.07,100,40,5.14,AU,1691254133
208,hammerfest,70.6634,23.6821,12.25,82,75,4.63,NO,1691254133
209,brezina,33.0989,1.2608,37.16,11,0,3.83,DZ,1691254133
210,sirte,31.2089,16.5887,27.62,73,0,10.76,LY,1691254134
211,qaqortoq,60.7167,-46.0333,8.31,74,4,3.09,GL,1691254134
212,chernyshevskiy,63.0128,112.4714,13.66,81,42,3.46,RU,1691254134
213,puerto baquerizo moreno,-0.9,-89.6,25.55,83,75,6.17,EC,1691254134
214,buala,-8.145,159.5921,24.55,96,100,1.51,SB,1691254134
215,kourou,5.1552,-52.6478,32.03,61,7,4.62,GF,1691254134
216,macau,22.2006,113.5461,31.03,89,20,4.12,MO,1691254069
217,figeac,44.75,1.9167,16.72,82,100,0.6,FR,1691254134
218,pedro juan caballero,-22.5472,-55.7333,29.98,39,0,6.17,PY,1691254134
219,avarua,-21.2078,-159.775,22.03,78,40,3.09,CK,1691254134
220,mildura,-34.2,142.15,5.04,85,0,3.89,AU,1691254134
221,selkirk,50.1436,-96.8845,28.95,61,99,3.25,CA,1691254134
222,kenora,49.8167,-94.4337,24.54,73,100,4.47,CA,1691253943
223,north bend,43.4065,-124.2243,20.14,94,100,4.63,US,1691254135
224,ataq,14.5377,46.8319,28.86,44,49,2.59,YE,1691254135
225,cestos city,5.46,-9.5828,26.18,80,87,6.2,LR,1691254135
226,sogndal,61.2283,7.1003,20.21,55,75,1.54,NO,1691254135
227,tejen,37.3834,60.5054,36.17,20,0,2.8,TM,1691254135
228,sabha,27.0377,14.4283,40.91,8,0,1.37,LY,1691254135
229,mugia,43.1041,-9.2179,27.73,85,16,6.41,ES,1691254135
230,hermanus,-34.4187,19.2345,12.11,87,98,1.44,ZA,1691254135
231,shimoda,34.6667,138.95,26.72,86,25,2.28,JP,1691254135
232,letpandan,17.7833,95.75,25.53,90,98,3.11,MM,1691254135
233,saint-francois,46.4154,3.9054,19.69,56,100,7.2,FR,1691254136
234,ibanda,-2.7974,32.4746,23.43,38,54,1.8,TZ,1691254136
235,barra do garcas,-15.89,-52.2567,34.32,27,0,4.12,BR,1691254023
236,taksimo,56.3444,114.8794,18.49,64,100,0.95,RU,1691254136
237,peace river,56.2501,-117.286,18.17,77,0,1.03,CA,1691254124
238,tara,56.8944,74.371,19.27,81,99,3.28,RU,1691254136
239,sao vicente,-23.9631,-46.3919,32.1,65,0,2.57,BR,1691253931
240,colonia,50.9333,6.95,18.31,86,20,1.03,DE,1691254026
241,praia da vitoria,38.7333,-27.0667,25.42,73,40,3.5,PT,1691254136
242,miches,18.9836,-69.0476,33.11,61,18,5.84,DO,1691254136
243,rio verde de mato grosso,-18.9181,-54.8442,34.78,15,0,2.84,BR,1691254136
244,altay,47.8667,88.1167,19.02,49,3,1.57,CN,1691254136
245,san antonio de pale,-1.4014,5.6325,22.85,79,97,5.32,GQ,1691254137
246,saldanha,-33.0117,17.9442,13.03,88,93,3.66,ZA,1691254137
247,chake chake,-5.2459,39.7666,23.62,86,35,4.28,TZ,1691254137
248,jaffna,9.6685,80.0074,28.33,74,98,7.12,LK,1691254137
249,port augusta,-32.5,137.7667,6.44,80,0,2.39,AU,1691254137
250,nova sintra,14.8667,-24.7167,22.83,79,15,5.5,CV,1691254137
251,conceicao do araguaia,-8.2578,-49.2647,39.31,21,50,1.58,BR,1691254137
252,puerto ayora,-0.7393,-90.3518,28.98,90,42,4.92,EC,1691254137
253,chayan,43.0297,69.3772,30.78,22,16,5.43,KZ,1691254137
254,zemio,5.0314,25.1361,22.18,92,100,1.75,CF,1691254137
255,tanumah,27.1,44.1333,36.21,9,3,3.66,SA,1691254138
256,mermoz boabab,14.7065,-17.4758,32.31,70,98,5.14,SN,1691254138
257,el calafate,-50.3408,-72.2768,2.29,82,18,4.34,AR,1691254138
258,kalmunai,7.4167,81.8167,27.71,81,73,3.7,LK,1691254138
259,pariaman,-0.619,100.12,24.03,87,14,1.4,ID,1691254138
260,magadan,59.5667,150.8,11.49,63,100,3.08,RU,1691254138
261,kosh-agach,50.0,88.6667,11.74,78,95,1.04,RU,1691254138
262,alofi,-19.0595,-169.9187,21.94,100,98,1.54,NU,1691254138
263,kayenta,36.7278,-110.2546,28.93,14,0,1.09,US,1691254139
264,wotho,10.1657,166.0102,28.39,73,80,7.46,MH,1691254139
265,anzhero-sudzhensk,56.081,86.0285,12.95,66,0,3.1,RU,1691254139
266,cooper's town,26.8667,-77.5167,29.4,73,14,6.06,BS,1691254139
267,champerico,14.3,-91.9167,34.3,62,66,1.72,GT,1691254139
268,alamogordo,32.8995,-105.9603,36.0,28,0,3.6,US,1691253843
269,selfoss,63.9331,-20.9971,15.58,73,94,5.18,IS,1691254139
270,wenling,28.3669,121.36,26.63,89,40,1.75,CN,1691254139
271,male,4.1748,73.5089,29.97,79,75,5.14,MV,1691254139
272,tibu,8.639,-72.7358,35.81,41,41,1.34,CO,1691254139
273,aron,24.3833,77.4167,24.04,91,100,3.63,IN,1691254139
274,ormara,25.2088,64.6357,27.77,82,38,6.96,PK,1691254139
275,port lincoln,-34.7333,135.8667,10.81,64,79,2.34,AU,1691254140
276,gardez,33.5974,69.2259,23.23,50,0,1.63,AF,1691254140
277,vikasnagar,30.4683,77.775,26.09,87,80,1.24,IN,1691254140
278,buzuluk,52.7807,52.2635,27.71,41,65,1.49,RU,1691254140
279,keflavik,64.0049,-22.5624,13.95,88,75,6.69,IS,1691254140
280,san luis de la loma,17.2706,-100.8939,30.43,55,100,1.09,MX,1691254140
281,mombaca,-5.7431,-39.6275,35.33,23,28,2.55,BR,1691254140
282,pacific grove,36.6177,-121.9166,17.34,95,100,2.57,US,1691254140
283,labrador city,52.9463,-66.9114,14.95,88,100,3.09,CA,1691254140
284,queenstown,-31.8976,26.8753,14.95,28,0,1.25,ZA,1691254140
285,kurgan,55.45,65.3333,19.18,87,68,2.89,RU,1691254141
286,lanxi,29.2195,119.477,28.18,79,92,1.07,CN,1691254141
287,meulaboh,4.1363,96.1285,26.18,84,100,0.8,ID,1691254141
288,aasiaat,68.7098,-52.8699,1.79,93,74,2.85,GL,1691254141
289,kavieng,-2.5744,150.7967,26.95,80,50,5.22,PG,1691254141
290,cole harbour,44.6724,-63.4751,21.21,92,100,3.58,CA,1691254141
291,bahia de caraquez,-0.6,-80.4167,29.1,74,81,4.08,EC,1691254141
292,lospalos,-8.5186,127.0025,19.69,87,59,1.99,TL,1691254141
293,walvis bay,-22.9575,14.5053,17.53,63,0,3.6,NA,1691254141
294,calatayud,41.3535,-1.6432,29.62,23,0,8.35,ES,1691254141
295,chortkiv,49.0171,25.798,28.58,43,0,5.34,UA,1691254142
296,guerrero negro,27.9769,-114.0611,24.08,58,31,3.22,MX,1691254142
297,san pedro de macoris,18.4616,-69.2972,33.34,58,23,6.84,DO,1691254142
298,belyy yar,53.6039,91.3903,17.94,100,0,2.0,RU,1691254143
299,salgueiro,-8.0742,-39.1192,31.52,29,5,3.41,BR,1691254143
300,paraiso,9.8383,-83.8656,25.48,68,55,2.73,CR,1691254143
301,hithadhoo,-0.6,73.0833,27.8,72,100,1.48,MV,1691254143
302,tura,25.5198,90.2201,24.25,98,100,2.72,IN,1691254144
303,forster,-32.1667,152.5167,9.1,100,33,3.24,AU,1691254144
304,abadeh,31.1608,52.6506,26.94,15,0,7.36,IR,1691254144
305,mareeba,-17.0,145.4333,16.4,85,65,0.54,AU,1691254144
306,kingston,17.997,-76.7936,34.02,65,20,10.8,JM,1691254139
307,porto novo,6.4965,2.6036,27.9,76,92,4.54,BJ,1691254144
308,nhamunda,-2.1861,-56.7131,37.97,28,7,2.47,BR,1691254144
309,camaqua,-30.8511,-51.8122,20.04,71,40,2.57,BR,1691254045
310,akureyri,65.6835,-18.0878,12.96,71,100,5.66,IS,1691254145
311,jinchang,38.4953,102.1739,22.59,53,100,7.66,CN,1691254145
312,nagqu,31.5,92.0,4.11,90,75,1.37,CN,1691254145
313,anadyr,64.75,177.4833,11.28,87,40,9.0,RU,1691254146
314,novodvinsk,64.4165,40.8122,17.6,92,10,2.9,RU,1691254146
315,papao,-17.75,-149.55,22.82,77,45,1.26,PF,1691254146
316,rio brilhante,-21.8019,-54.5464,31.93,21,0,3.05,BR,1691254146
317,inderbor,48.55,51.7833,34.84,21,44,5.36,KZ,1691254147
318,shijiang,27.0819,110.7933,28.44,74,85,1.31,CN,1691254147
319,tazovsky,67.4667,78.7,15.2,65,8,2.31,RU,1691254147
320,sorong,-0.8833,131.25,25.97,85,100,6.84,ID,1691254147
321,chonchi,-42.6128,-73.8092,9.51,73,34,2.03,CL,1691254147
322,pandan,14.0453,124.1694,27.66,82,31,5.35,PH,1691254147
323,vacaria,-28.5122,-50.9339,22.01,60,26,1.67,BR,1691254147
324,yura,-16.2522,-71.6797,22.29,9,0,4.63,PE,1691254148
325,naze,28.3667,129.4833,25.51,92,100,14.22,JP,1691254148
326,omdurman,15.6445,32.4777,36.05,32,60,7.21,SD,1691254148
327,bamako,12.65,-8.0,33.23,62,20,2.57,ML,1691254148
328,mahanoro,-19.9,48.8,19.45,87,90,2.35,MG,1691254148
329,markovo,57.3206,107.0881,14.3,81,100,2.07,RU,1691254148
330,new plymouth,-39.0667,174.0833,5.73,70,23,1.51,NZ,1691254006
331,san patricio,28.017,-97.5169,35.4,40,20,6.03,US,1691254148
332,itoman,26.1247,127.6694,27.01,89,75,18.52,JP,1691254148
333,mangrol,21.1167,70.1167,27.06,86,83,7.33,IN,1691254148
334,remire-montjoly,4.9167,-52.2667,32.02,66,40,5.14,GF,1691254149
335,quiberon,47.4841,-3.1196,20.62,74,0,4.02,FR,1691254149
336,isla del bosque,22.7333,-105.85,30.17,66,100,1.17,MX,1691254149
337,axim,4.8699,-2.2405,25.27,82,60,4.07,GH,1691254149
338,tomatlan,19.9333,-105.25,26.46,83,100,1.24,MX,1691254149
339,sao felix do xingu,-6.6447,-51.995,35.94,27,72,1.17,BR,1691254149
340,somerset,40.5668,-74.5496,30.03,58,20,0.89,US,1691253942
341,chillicothe,39.3331,-82.9824,28.88,56,0,0.0,US,1691254149
342,vadso,70.0744,29.7487,13.09,82,40,1.54,NO,1691254150
343,fortuna foothills,32.6578,-114.4119,38.08,15,0,3.6,US,1691254150
344,geraldton,-28.7667,114.6,10.23,93,90,2.06,AU,1691253995
345,santa ana,33.7456,-117.8678,26.59,76,40,1.54,US,1691253781
346,torghay,49.6339,63.4981,23.93,60,75,3.62,KZ,1691254150
347,carnarvon,-24.8667,113.6333,18.85,81,0,4.02,AU,1691254150
348,rio grande,-32.035,-52.0986,19.06,60,0,3.74,BR,1691254150
349,cabo san lucas,22.8909,-109.9124,34.23,63,95,4.65,MX,1691254095
350,quesnoy-sur-deule,50.7167,3.0,17.16,78,100,7.2,FR,1691254150
351,tamanrasset,22.785,5.5228,33.95,20,40,5.14,DZ,1691254150
352,ola,59.5833,151.2833,11.35,66,99,2.86,RU,1691254150
353,malemort-sur-correze,45.1701,1.5619,17.43,80,100,1.76,FR,1691254151
354,haiku-pauwela,20.9219,-156.3051,24.47,74,0,5.14,US,1691254151
355,kalemie,-5.9475,29.1947,23.36,57,4,1.17,CD,1691254151
356,yarmouth,41.7057,-70.2286,27.26,82,75,3.09,US,1691254151
357,huetamo de nunez,18.5833,-100.8833,30.02,66,99,0.76,MX,1691254151
358,sarandi del yi,-33.35,-55.6333,18.57,41,0,5.2,UY,1691254151
359,hirara,24.8,125.2833,28.15,89,100,7.2,JP,1691254151
360,dauphin,51.1494,-100.0502,23.08,60,0,3.09,CA,1691254151
361,chandler,33.3062,-111.8412,40.21,17,0,1.54,US,1691253787
362,marvejols,44.5538,3.2914,16.09,66,40,5.14,FR,1691254152
363,taroa,8.7058,171.2275,27.87,71,93,6.42,MH,1691254152
364,sungai penuh,-2.0833,101.3833,17.64,96,29,1.43,ID,1691254152
